Question,Answer
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,"THE IMPROVED VARIETIES OF CHILLI-: CH 1, CH 3, PUNJAB SURKH,PUNJAB GUCHHEDAR,PUNJAB LAL."
information regarding to varieties of sorghum,s.l.-44- variety of sorghum
information regarding seedpr-121?,pau-01612401960
weather of amritsar,"Cloudhy weather in amritsar no chance of rain,,"
PROBLEM OF CATERPILLAR IN BITTER GOURD?,
INFORMATION REGARDING LOAN IN GOAT?,"REFER TO DEPUTY DIRECTOR ,,,AMRITSAR."
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,SPRAY PLANOFIX @ 1 ML IN 4-5 LT OF WATER
information regarding to control of red pumpkin beetle in pumpkin,spray of dimethoate 250 m.l.+100 ltr water /acre in pumpkin
information regarding varieties of paddy ?,"varieties of paddy-PR-121 ,PR-122 , PUSA PUNJAB BASMATI-1509 ."
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,SPRAY INDOFIL M-45 @ 400GM IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING SOWING TIME NURSARY OF MARIGOLD?,SOWING TIME NURSARY OF MARIGOLD MID SEP-NOV.
information regarding to control of jassid in okra,spray of dimethoate 30 e.c. 250 m.l.+100 ltr water /acre in pumpkin
new var. of paddy ?,"PR 121, and PR 122? of ?A? Grade paddy, ?Punjab Basmati 3 and Pusa Punjab Basmati 1509? of basmati rice,"
# INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,SPRAY OF STOMP 30 EC @ 1 LITRE IN THE 200 LITRESOF WATER/ACRE AT PRE-EMERGENCE STAGE.
weather newther of Amritsar,Sunny weather of Amritsar
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,"THE IMPROVED VARIETIES OF[SPRING/SUMMER]BHINDI-:PUNJAB-8,PUSA SAWANI,PUSA PADMINI,PUNJAB 7."
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
information regarding weather condition?,NO chances of rainfall today.
YELLOWING OF LEAVES OF GRAM?,SPRAY BAVISTIN 200 G IN 200 LITRES OF WATER PER ACRE.
aphids problem in wheat crop?,sprey confidor@ 100ml /100liter of water/acre
information regarding to control of maize borer in maize,spray of cypermathrine 10 e.c. 40 m.l.+80-100 ltr water /acre in maize
information regarding to control of jassid in chilli,spray of malathion 50 e.c. 400 m.l.+80-100 ltr water /acre in chilli
information regarding to control of maize borer in maize,
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
# INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,"FIRST IRRIGATION SHOULD BE GIVEN JUST AFTER TRANSPLANTING AND LATER IRRIGATION AFTER 7-10 DAYS
 
  INTERVAL DURING SUMMER AND10-15 DAYS DURING WINTER."
WHAT IS THE AMOUNT OF UREA IN TINDA?,80 KG UREA IS RECOMMENDED.
information regarding to control of root rot in okra,spray of bavisten 50% w.p. 200 gm +200 ltr water /acre in okra
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
information regarding seed rate of summer moong?,seed rate of summer moong 12-15kg/acre.
contact no of krishi vigyan kendra?,0183-2505673.
information regarding robbit market?,i told farmer plz contect 01823-503415.
problem of stem rot in barseem?,spray bavistin 400gm in 200 liters water/acre.
INFORMATION REGARDING FOR POULTRY TRAINING?,"REFFER TO GADVASU, LUDHIANA @ 0161-2414045,46"
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF CAPSICUM(SHIMLA MIRCH) SEEDLING TRANSPLANTING?,THE FERT. DOSE AT THE TIME OF CAPSICUM(SHIMLA MIRCH) SEEDLING TRANSPLANTING IS - DAP-40KG & MOP-12KG/ACRE.
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,SPRAY CONFIDOR @ 80 ML IN 100 LT OF WATER
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 250ML PROPICONAZOLE/ACRE IN 200LITRE WATER."
irrigation in wheat?,no need for irrigation in wheat.
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,THERE IS NO NEED TO IRRIGATE THE WHEAT.
INFORMATION REGARDING THE POULTRY.?,"REFFER TO GADVASU @ 0161-2414045, 2414046"
INFORMATION REGARDING WEATHER OF FEROZEPUR?,TODAY IS NO CHANCE OF RAIN.
information regarding dairy?,contact deputy director dairy-kashmir singh-98152-69059.
problem of white fly in peach?,spray trizophos 40ec 5ml in 1 liter water.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
information regarding dose of urea in bhindi?,dose of urea in bhindi 80kg/acre.
contact no.of animal husbandary officer?,1.83E+09
control of stem rot in barseam?,spray bavistin 250gm in 150lit water per acre.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,"THE SUITABLE VARIETIES OF SUMMER MAIZE-LONG DURATION VARIETIES-PMH-1,PARBHAT,SHORT DURATION VARIETIES-PMH-2,JH-3459."
fertilizers of tomato?,19-19-19[NPK]-1KG/100 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE IS-NORMAL VARIETIES-6-8 KG & HYBRID VARIETIES-3-4 KG.
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,no chances of rainfall in coming days.
information regarding to control of root rot in chilli,bavisten 500 gm +soil /acre in chilli before irrigation
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,SPRAY ROGOR @ 2 ML IN 1 LITER OF WATER.
information regarding to control of citrus psylla in citrus,spray of 1250 m.l.tryjophose 40 e.c. in 500 ltr water /acre in citrus
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,4TH IRRIGATION 4 WEEKS AFTER THE 3RD IRRIGATION.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,: SPRAY CONFIDOR @ 80 ML IN 100 LT OF WATER
WEATHER IN AMRITSAR?,CHANCES OF RAIN ON 10
WEATHJER REPORT FOR AMRITSAR?,CHANCES OF RAIN ON 10
problam of deflower in guava?,spray of 1 ml planofix with 4 ltr water
"control of dropping flower in lemon?
 
 .",spray palanofix 1ml in 4.5 lit water
WEATHER REPORT IN AMRITSAR?,CHANCES OF RAIN ON 10..
#: INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,"A: VARIETIES OF MAIZE: PMH-1,PMH-2,JH-3459."
# INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,A: SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,THERE IS NO NEED TO IRRIGATE IT.
information regarding to the weather condition ?,10 april chance of rainfall.
WEED INFESTION IN SUGARCANE CROP,"- FOR BROAD LEAF WEED APPLY WEEDICIDE 2-4D (AMINE SALT) @ 800GM /225 LITER OF WATER /ACRE FOR DILA
 
  STOMP @ 1 LITER/225LITER OF WATER/ACRE FOR PRE EMERGANCE."
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,"THE SEED RATE OF SUMMER MOONG-:SML 668- 15 KG, SML 832- 12 KG/ ACER."
contactno. of pau ludhiana?,1.61E+09
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY CONFIDOR @ 80 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP,PLS SPRAY 300ML QUNALPHOS MIX WITH 100 LITRE WATER PER ACRE."
WHICH ARE THE NEW VARIETIES OF BASMATI?,THE NEW VARIETIES OF BASMATI ARE PUNJAB BASMATI 3 AND PUSA PUNJAB BASMATI 1509.
weather information.,chance of light showers on 10th april 2013.
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE) @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,"PR-121,PR-122 NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA."
information regarding to suitable varieties of mungbean,"p.a.u.-911, m.l.-613, m.l.--818- varieties of mungbean"
information regarding jassid in bhindi ?,spray of 500 ml malathion with 100 ltr water
# INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,"A: THE IMPROVED VARIETIES OF SUMMER MOONG SML 832,SML 668."
# INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,"A: THE IMPROVED VARIETIES OF SUMMER MOONG SML 832,SML 668."
information regarding to control of stem borer in sugarcane,apply carbofuron 3g 10-12 kg /acre in sugarcane
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,"@ IRRIGATION-: THE TOTAL 3-5 IRRIGATIONS ARE REQURED,THE 1ST IRRIGAION SHOULD BE DONE AFTER 
 
  ______________25 DAYS OF SOWING AND LAST IRRIGATION SHOULD BE DONE AFTER 55 DAYS OF SOWING."
information regarding to control of weed in mungbean,spray of pendimethline 30 e.c. 1 ltr +200 ltr water /acre in mungbean as apre emergence use
asking about weather forcasting,no chance of rainfall today
how are weather today?,no chance of rain
information regarding to control of bihar hairy catterpiller,spray of chlorantraniliprole 18.5 SL 50 m.l.+80-100 ltr water /acre in barseem
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,NO CHANCE OF RAINFAL TODAY.
INFORMATION ABOUT PAU NUMBER?,0161-2401960
information regarding to control of jassid in pumpkin,spray of dimethoate 30 e.c. 250 m.l.+100 ltr water /acre in pumpkin
information regarding to control of bihar hairy catterpiller,spray of chlorantraniliprole 18.5 SL 50 m.l.+80-100 ltr water /acre in barseem
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,THERE ARE SOME CHANCES OF RAIN AND HIGH WINDS TODAY
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
information regarding to new varieties of rice,"p.r.-121, p.r.-122 - new varieties of rice yield-30.5 quntl-31.5 quntl /aCRE"
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,DOSE OF UREA FOR GUAVA SIX YEAR PLANT 300GM.
INFORMATION REGARDING TO THE CONDITION OF WEATHER,NO CHANCE OF RAINFALL
TERMITS PROBLEMS IN SUGARCANE CROP,APPLY CHLOROPYRIPOS @ 2 LITER /ACRE
asking about weather forcasting,there may be chance of rainfall today
CONTECT NO. OF PAU LUDHIANA,0161-2401960
information regarding weather condition?,10 april Some chance of rainfall.
control of termite in barseam?,spray of choloropyriphos 1lit in 10 kg of sand per acre.
control of leaf catterpillar ?,spray of rogar 200ml in 100lit water per acre.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
information regarding weather ?,"Light rain (total 2mm), mostly falling on night"
contact no of deputy director dairy amritsar?,kashmir singh-9815269059 contact no of deputy director dairy amritsar.
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,A: THE SEED RATE OF MAIZ CROP [SPRING SEASON]-: 10 KG/ACRE.
WEATHER IN AMRITSAR?,CHANCES OF RAIN TODAY.
WEATHER INFROAMTION?,CHANCE OF RAIN.
BARSEEM CATERPILLAR PROBLEM?,SPRAY ROGOR OR METASYSTOX 250 ML IN 100 LITRES OF WATER EPR ACRE.
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,SPRAY ZnSo4 @ 3 GM IN 1 LT OF WATER.
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,SPRAY PLANOFIX @ 1 ML IN 4-5 LT OF WATER
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,THE SOWING TIME OF BAJRA-BEGINNING OG JULY.
information regarding to weather?,chance of rain .
CONTECT NO. OF PAU LUDHIANA,0161-2401960
information regading improved varieties of paddy.,"improved varieties of paddy:PR-122 ,PR-121,PR-118 , PR-116"
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP,PLS SPRAY ROKO(THIOPHRNSTE METHYL)-250GM IN 120LITRE WATER/ACRE."
WEATHER REPORT?,CHANCE OF RAIN.
ASKINGH NEW VERITIES OF COTTON CROP?,NCS-855
weather of amritsar ?,Mostly dry
information regarding to new varieties of basmati rice,"pusa punjab basmati-1509, punjab basmati-3- new varieties of basmati rice"
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,DOSE OF UREA IN TOMATO 55 KG/ACRE.
control of worm in bhindi?,spray sumicidin 100ml in 100lit of water per acre.
fruit droping problem in citrus,planofix @ 1ml/4.5 liter of water
asking about new verities of rice crop,PR-121&122
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,": THE IMPROVED VARIETIES OF SUMMER MOONG SML 832,SML 668."
cont no of pau?,"PAU CONT NO 0161-2401960,SEED SHOP-0161-2401419"
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,SPRAY OF TILT(PROPICONAZOLE)/FOLICUERE @ 200 ML IN THE 200 LITRES OF WATER/ACRE.
information regarding to control of root rot in okra,bavisten 500 gm +soil acre in okra before irrigation
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,NO CHANCE OF RAINFALL TODAY.
information regarding to new varieties of rice,"p.r.-121, p.r.-122 - new varieties of rice yield-30.5 quntl-31.5 quntl /aCRE"
FOR CONTROL PEST ATTACK ON WHEAT?,SPARY TRIAZOPHOS 350 ML/ACRE+100 LT WATER
information regading improved varieties of paddy.,"improved varieties of paddy:PR-122 ,PR-121,PR-118 , PR-116"
control of stem borer?,spray coragen 60mlin100lit water per acre
information regarding to seed of rice variety?,"pr 121, pr 122, pusa 1509"
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,THE SOWING TIME OF BAJRA-BEGINNING OG JULY.
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,"FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE."
INFORMATION REGARDING WEATHER OF AMRITSAR?,NO CHANCES OF RAIN
asking about new verities of rice crop,PR-121&122
information regarding to seed rate of turmeric,6-8 quntl rhizome /acre for turmeric
information regarding to suitable varieties of cotton,"ankur -3028, m.r.c.-7017,m.r.c.-7031,m.r.c.-6304, m.r.c.-6301- varieties of american cotton"
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,NURSERY SOWING TIME OF RICE CROP - 15 MAY TO 30 MAY FOR ALL VARIETIES.
CHANCES OF RAINFALL IN DIST TODAY?,NO CHANCES OF RAINFALL IN DIST TODAY
WEATHER IN AMRITSAR?,CLEAR WEATHER CHANCES ARE THERE.
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,"FOR THE CONTROL OF TERMITE IN SUGARCANE CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION."
how to seed treatment of maize ?,treat the seed with carbendazim @ 3 gm per kg of seed .
information regarding cows?,provided GADVASU number.
what is the dose of 24 D in sugarcane?,DOSE OF 24 D IS 80 G IN 225 LITRES OF WATER PER ACRE.
how to control of weed of sugarcane ?,spray atrazin 800 gm +400 ml 2-4-d(amine salt58%) in 225 lt of water.
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY ROGOR/METASYSTOX @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,"THE SEED RATE OF SUMMER MOONG-:SML 668- 15 KG, SML 832- 12 KG/ ACER."
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,SEED RATE OF MAIZE FOR FODDER 30 KG/ACRE.
WHAT IS THE YIELD OF PR 122?,THE YIELD OF PR 122 IS 31.5 Q PER ACRE.
what is the contact number of pau?,CONTACT NUMBER OF PAU IS 0161-2401960
information regarding to control of catterpiller in tomato,spray of cypermathrine 20 e.c. 200 m.l.+100 ltr water /acre in tomato
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,"THE NEW RELEASED VARIETIES OF PADDY ARE PR 121, and PR 122 Pusa Punjab Basmati 1509."
information regarding control of weed in sugarcane?,spray atrazine @ 800 gm in 225 liters of water.
flower droping in citrus?,plinofix-1gg/4.5 litre water/acre.
INFORMATION CONTROL OF TERMITE IN WHEAT?,APPLY CHLOROPYRIPHOS 20 EC @ 1 LITER MIXED IN 12KG SAND/ACRE.
information regarding to control of seed rate of fodder maize,25-30 kg seed /acre in fodder maize
flower droping problem in citrus,sprey planofix @ 1ml/4.5liter of water
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,IMPROVED VARIETY OF TEOSINTE :TL 1.
information regarding to seed rate fodder maize,25-30 kg seed /acre for fodder maize
NEW VARIETIES OF RICE?,"NEW VARIETIES OF RICE PR 121,PR 122."
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,NO CHANCE OF RAINFAL TODAY.
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,THE SOWING TIME OF GREEN GRAM(MOONGI)-FIRST WEEK OF JULY MONTH.
information regarding to control of jassid in wheat,spray of thiomethaxam 20 gm +100 ltr water /acre in wheat
wheather in amitsar?,rain chance-10%.
ASKING ABOUT WEATHER FORCASTING?,NO CHANCE OF RAINFALL
cont no of pau?,"PAU CONT NO 0161-2401960,SEED SHOP-0161-2401419"
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,: SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
wheather of dist today?,no chances of rainfall
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,SPRAY INDOFIL M-45 @600GM IN 200 LITERS OF WATER/ACRE.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY CHANCES OF RAIN
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,"FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP,PLS SPRAY 300ML QUNALPHOS MIX WITH 100 LITRE WATER PER ACRE."
information regarding dose of urea in onion?,dose of urea in onion 90kg/acre.
information regarding weather condition?,NO chances of rainfall today.
INFORMATION REGARDING CHANCE OF RAINFALL?,NO CHANCE OF RAINFALL .
information regarding to control of jassid in pumpkin,spray of dimethoate 30 e.c. 250 m.l.+100 ltr water /acre in pumpkin
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP,PLS SPRAY KOCIDE(COPPER HYDRO XICHLORIDE)-500GM+2 PCS STREPTOCYCLENE IN 150LITRE WATER/ACRE."
information regarding to control of collar rot in okra,spray of bavisten 50 w.p. 200 gm +200 ltr water /acre in okra
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Mostly dry. Warm (max 37Â°C on Tue afternoon, min 24Â°C on Sun night). Wind will be generally light."
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,SPRAY OF EKALUX[QUINALPHOS] 25EC @ 800 ML IN THE 100 LITRES OF WATER/ACRE.
WHAT IS THE DATE OF SOWING OF RICE?,THE DATE OF SOWING OF RICE IS FROM 1 MAY
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,SPRAY ROGOR @ 150 ML IN 100 LITERS OF WATER/ACRE.
problem of flower droping in chilli?,spray bavistin 2gm in 1 liter water for the control of flower droping in chilli.
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,SPRAY ROGOR @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,SPRAY ROGOR/METASYSTOX @ 150 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
